0 1
1 1
2 1
3 1
4 1
5 1
6 100
7 100
8 -400
9 100
10 100
11 100
12 100
13 -400
14 100
15 100
16 100
17 100
18 -400
19 100
20 100
21 1
22 1
23 100
24 100
25 -400
26 100
27 100
28 100
29 100
30 -400
31 100
32 100
33 100
34 100
35 -400
36 100
37 100
38 1
39 1
40 100
41 100
42 -400
43 100
44 100
45 100
46 100
47 -400
48 100
49 100
50 100
51 100
52 -400
53 100
54 100
55 1
56 1
57 1
58 1
59 1
60 1
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
124 0
